Date,Futures_Price,USD_Spot_Price,USD_INR,Spot_INR_oz,Spot_INR_10g,Basis,RF,F_theoretical,Arbitrage,Cash_Carry,Reverse_Carry,Spot_Return,Futures_Return,RollingVol
2020-06-12,47325,1730.8,76.05,131627.34,42319.14093269246,5005.859067307538,0.0015000000596046448,42393.99018680858,4931.00981319142,True,False,0.0029419941997583044,-0.0016890112745359038,0.010235631079793832
2020-06-15,46999,1725.53,75.979,131104.04387,42150.89744562509,4848.102554374913,0.001550000011920929,42225.622659346605,4773.377340653395,True,False,-0.003983512089646229,-0.006912372207422668,0.009780371651302352
2020-06-16,47534,1727.46,76.25,131718.825,42348.55402125163,5185.445978748372,0.001599999964237213,42423.80398490758,5110.196015092421,True,False,0.004678301046836682,0.011318919571210959,0.009805237944468054
2020-06-17,47320,1727.04,76.29,131755.88160000002,42360.46798591799,4959.532014082011,0.0016500000655651093,42435.91351388808,4884.086486111919,True,False,0.0002812915191939271,-0.004512205348988817,0.009784775040233921
2020-06-18,47328,1722.99,76.4,131636.43600000002,42322.06536241902,5005.934637580976,0.0014000000059604645,42396.57132234305,4931.42867765695,True,False,-0.000906978679381958,0.00016904741820319695,0.009673554910444223
2020-06-19,47907,1743.62,76.26,132968.4612,42750.32108926648,5156.678910733521,0.001430000066757202,42825.686570461046,5081.313429538954,True,False,0.010068116395596712,0.012159544998450388,0.009477769889829487
2020-06-22,47912,1755.44,75.79,133044.79760000002,42774.863793463766,5137.136206536234,0.0014000000059604645,42850.166883241174,5061.833116758826,True,False,0.000573929302921253,0.00010436343532166854,0.009151668251724284
2020-06-23,48186,1767.54,75.503,133454.57262,42906.60942337679,5279.390576623213,0.0014000000059604645,42982.14444499727,5203.85555500273,True,False,0.0030752443625129506,0.005702527472218833,0.00915832270483923
2020-06-24,48105,1762.43,75.665,133354.26595000003,42874.36010416835,5230.6398958316495,0.0013500000536441803,42949.66184675991,5155.338153240089,True,False,-0.0007518991894218182,-0.0016824006211521828,0.00900968952478501
2020-06-25,47952,1761.82,75.587,133170.68834,42815.338576044494,5136.661423955506,0.0012999999523162842,42890.36039458143,5061.639605418568,True,False,-0.001377564359930881,-0.0031856112389205627,0.008805204182705499
2020-06-26,48363,1771.47,75.62,133958.5614,43068.64545790667,5294.35454209333,0.0013300000131130218,43144.21750847672,5218.782491523278,True,False,0.005898832459189774,0.008534547987663808,0.008682897240283443
2020-06-29,48194,1772.28,75.51,133824.8628,43025.66039191731,5168.339608082693,0.00125,43100.87361310993,5093.126386890071,True,False,-0.000998557782348704,-0.0035005265816608596,0.00844838681995802
2020-06-30,48861,1781.66,75.545,134595.50470000002,43273.42733132928,5587.57266867072,0.0013500000536441803,43349.429969690325,5511.570030309675,True,False,0.005742068119506171,0.013745000279223093,0.008353399023523419
2020-07-01,48400,1770.32,75.49,133641.45679999999,42966.69403764849,5433.305962351507,0.0012999999523162842,43041.98106399069,5358.018936009314,True,False,-0.0071135008219156024,-0.009479718536947436,0.008403223936877365
